Urban_geoid,Urban_name,Clim_zone,Coastal?,CUHI Day (25th %tile),CUHI Day (75th %tile),CUHI Day (Difference),CUHI Night (25th %tile),CUHI Night (75th %tile),CUHI Night (Difference),SUHI Day (25th %tile),SUHI Day (75th %tile),SUHI Day (Difference),SUHI Night (25th %tile),SUHI Night (75th %tile),SUHI Night (Difference)
3358,"Asheville, NC",Temperate,False,-0.7296609,-0.5348529,0.194808,0.10688625,0.0972558,-0.009630449,0.71068424,-2.9160252,-3.6267095,0.06269622,-0.34208655,-0.40478277
3763,"Athens-Clarke County, GA",Temperate,False,-0.050307114,-0.0099256085,0.040381506,0.35412925,0.11394367,-0.24018559,1.2342511,-1.3553026,-2.5895538,0.39706618,0.2877561,-0.10931009
3817,"Atlanta, GA",Temperate,False,0.10642046,0.017811786,-0.08860867,0.28330225,0.2761339,-0.0071683526,1.503943,0.34705082,-1.1568922,0.46827132,0.27941525,-0.18885607
3898,"Atlantic City, NJ",Temperate,True,-0.1558827,-0.027717447,0.12816526,0.9472562,0.7963663,-0.15088993,0.6883024,0.26459804,-0.42370436,0.7351624,1.4220669,0.68690455
4033,"Auburn, AL",Temperate,False,-1.5910212,-0.05808755,1.5329336,0.39017838,0.11044764,-0.27973074,0.833964,-1.552876,-2.3868399,0.59916085,0.24640597,-0.3527549
4222,"Augusta-Richmond County, GA--SC",Temperate,False,0.090736985,-0.030190457,-0.12092744,0.30683628,0.17564149,-0.13119479,0.82088375,-0.9696649,-1.7905486,0.4361257,0.3462126,-0.0899131
4843,"Baltimore, MD",Temperate,True,-0.58997935,-0.14926405,0.4407153,0.7467415,0.2832356,-0.46350586,1.786026,0.010841032,-1.775185,0.6503868,0.42864054,-0.22174627
5869,"Bay City, MI",Snow,False,-0.8884796,-0.053836897,0.8346427,0.58777773,0.43977845,-0.14799929,0.0906906,-2.3574543,-2.448145,0.7889782,0.7315744,-0.057403803
6139,"Beckley, WV",Temperate,False,-0.32147533,-0.7317804,-0.41030508,0.13405788,0.06245521,-0.07160267,-3.6964247,-3.4905298,0.20589495,-0.1312887,-0.97831714,-0.84702843
7786,"Birmingham, AL",Temperate,False,0.013261859,0.026331574,0.013069714,0.36004198,0.25111425,-0.10892773,1.3367473,-0.118718736,-1.455466,0.68468297,0.33320433,-0.35147864
8002,"Blacksburg, VA",Temperate,False,-0.07426299,-0.46561795,-0.39135498,0.1909192,0.12276046,-0.068158746,0.50281996,-2.4945927,-2.9974127,0.10363308,-0.31829926,-0.42193234
8380,"Bloomington, IN",Temperate,False,-0.058241017,-0.044248305,0.013992712,0.47089338,0.22153595,-0.24935743,1.8690996,0.26716173,-1.6019379,0.83878183,0.44948903,-0.3892928
8434,"Bloomsburg--Berwick, PA",Snow,False,-2.0580306,-0.21881151,1.8392191,0.38702834,0.13576123,-0.2512671,0.1427505,-3.5331967,-3.6759472,0.99013627,0.47397506,-0.5161612
8974,"Bonita Springs, FL",Tropical,True,-2.1831582,-2.1739104,0.00924778,0.83549476,0.6312969,-0.20419788,2.432201,1.2162551,-1.2159458,1.2853317,1.0117279,-0.2736038
9379,"Bowling Green, KY",Temperate,False,-1.0709183,0.01254452,1.0834628,0.6963928,0.2582311,-0.43816167,0.38132083,-2.246694,-2.628015,0.880382,0.2867778,-0.5936042
10162,"Bridgeport--Stamford, CT--NY",Temperate,True,0.091589585,-0.090740256,-0.18232983,0.8282681,0.20635682,-0.6219113,2.4349089,-1.1767259,-3.6116347,0.5750314,0.12390022,-0.45113117
10351,"Bristol--Bristol, TN--VA",Temperate,False,-0.19108763,-0.5725351,-0.38144746,0.15152742,0.10769218,-0.043835238,1.6326978,-2.4236548,-4.0563526,0.05106012,-0.1701411,-0.22120123
11026,"Brunswick, GA",Temperate,True,-0.5300244,0.06387546,0.59389985,0.38976076,0.31269288,-0.07706788,-0.5540449,-1.237917,-0.68387204,0.6376274,0.3289867,-0.30864072
11728,"Burlington, NC",Temperate,False,-0.15878838,-0.031589735,0.12719865,0.28172165,0.07615778,-0.20556387,0.87358695,-1.23204,-2.105627,0.44345078,0.44483474,0.0013839602
13375,"Canton, OH",Snow,False,-1.5774603,-0.3052282,1.272232,0.746505,0.22824149,-0.5182635,1.8199646,-0.4064227,-2.2263873,1.0355396,0.5263734,-0.50916624
13510,"Cape Coral, FL",Temperate,True,-0.28418434,0.10654752,0.39073187,0.40079957,0.5189445,0.11814493,1.6888577,0.33642086,-1.3524368,0.5663967,0.7642509,0.19785416
13537,"Cape Girardeau, MO--IL",Temperate,False,-1.8362755,-0.06339295,1.7728825,0.668958,0.27242392,-0.3965341,1.4992697,-0.74040854,-2.2396784,0.7579205,0.088182375,-0.6697381
13591,"Carbondale, IL",Temperate,False,-0.0017322656,-0.06196527,-0.060233004,0.26661575,0.38010234,0.11348659,0.52960104,-0.71612,-1.2457211,0.4657622,0.10881642,-0.35694578
