Urban_geoid,Urban_name,Clim_zone,Coastal?,CUHI Day (25th %tile),CUHI Day (75th %tile),CUHI Day (Difference),CUHI Night (25th %tile),CUHI Night (75th %tile),CUHI Night (Difference),SUHI Day (25th %tile),SUHI Day (75th %tile),SUHI Day (Difference),SUHI Night (25th %tile),SUHI Night (75th %tile),SUHI Night (Difference)
79309,"Santa Clarita, CA",Arid,False,0.4961108,0.13831839,-0.3577924,0.47723937,0.08229387,-0.3949455,0.29459572,-0.75693345,-1.0515292,0.6415098,0.051847316,-0.58966243
79336,"Santa Cruz, CA",Temperate,True,0.42698044,-0.14754444,-0.5745249,0.77913284,-0.16882081,-0.94795364,4.5606747,-0.5852525,-5.1459274,0.89025897,-0.1871896,-1.0774486
79363,"Santa Fe, NM",Temperate,False,-0.005007285,-1.5427231,-1.5377158,0.33936468,0.11536653,-0.22399814,0.47687173,-1.5872849,-2.0641565,0.6665823,0.27478728,-0.391795
79417,"Santa Maria, CA",Temperate,True,0.67737937,0.3641738,-0.31320557,0.7532227,0.45673832,-0.29648438,3.6165166,1.5928055,-2.0237112,1.8793039,0.4945778,-1.3847262
79498,"Santa Rosa, CA",Temperate,False,0.31818646,0.0033400643,-0.3148464,0.32810292,0.28771397,-0.04038894,2.4673612,-0.06598535,-2.5333467,1.2226733,0.13393165,-1.0887417
80362,"Seaside--Monterey, CA",Temperate,True,0.39758113,0.26195917,-0.13562196,0.6523159,0.17454773,-0.47776818,2.3478158,1.0387563,-1.3090595,0.5246371,0.5957552,0.07111812
80389,"Seattle, WA",Temperate,True,0.13227996,-0.009032292,-0.14131226,0.2402978,0.19295555,-0.04734224,2.2519777,0.096257165,-2.1557205,0.3012855,0.27071378,-0.030571729
81631,"Sherman, TX",Temperate,False,0.05733366,0.019851018,-0.03748264,-0.05635662,-0.17103359,-0.11467697,-1.1824161,-0.6903836,0.49203247,-0.2281772,-0.570816,-0.3426388
81739,"Shreveport, LA",Temperate,False,0.18296164,0.015988067,-0.16697358,0.25551495,0.05806625,-0.1974487,1.4263792,-1.2812542,-2.7076335,0.48334083,-0.13086468,-0.6142055
81901,"Sierra Vista, AZ",Temperate,False,0.2469193,-1.0760671,-1.3229864,0.21124579,-0.10526702,-0.31651282,1.1040878,-1.292179,-2.396267,-0.005694613,0.12044351,0.12613812
82144,"Simi Valley, CA",Temperate,False,0.7332065,0.24781814,-0.48538837,0.5457425,0.1707426,-0.3749999,2.503646,0.5663113,-1.9373345,1.559226,0.5587097,-1.0005164
82225,"Sioux City, IA--NE--SD",Snow,False,0.20290066,0.13124035,-0.07166031,0.28718853,-0.030025976,-0.31721452,1.185681,-1.391098,-2.576779,0.59023726,-0.45235002,-1.0425873
82252,"Sioux Falls, SD",Snow,False,0.21877836,0.062444977,-0.15633339,0.31991476,-0.14489406,-0.46480882,1.278587,0.23822172,-1.0403652,0.75443184,-0.2682225,-1.0226543
82468,"Slidell, LA",Temperate,True,0.0013381131,0.14747685,0.14613874,0.11756958,0.15934257,0.04177299,0.06094122,1.7281193,1.667178,0.2266621,0.8515784,0.6249163
83116,"South Bend, IN--MI",Snow,False,0.24258429,0.038512375,-0.20407191,0.18819475,0.024152754,-0.164042,2.03932,-1.1748452,-3.2141652,0.6503956,-0.086450554,-0.73684615
83764,"Spokane, WA",Temperate,False,0.45008674,-0.39509475,-0.84518147,0.45638055,0.02315603,-0.43322453,1.6782265,-0.53862035,-2.216847,0.67546546,0.134898,-0.54056746
83953,"Springfield, MO",Temperate,False,0.27801603,-0.3771408,-0.65515685,0.31300867,-0.048288338,-0.361297,2.392736,-1.1317601,-3.524496,0.9529454,-0.012039984,-0.9649854
85087,"Stockton, CA",Temperate,True,0.5429673,0.025515711,-0.5174516,0.8074686,0.55227757,-0.25519103,3.3748565,2.295557,-1.0792994,1.3699067,1.2450192,-0.12488747
87058,"Temple, TX",Temperate,False,0.18393184,-0.0023636757,-0.18629552,0.10563179,0.011063508,-0.09456828,1.767504,-1.403942,-3.1714458,0.64261246,-0.057905592,-0.7005181
87193,"Texarkana--Texarkana, TX--AR",Temperate,False,-0.11852695,-0.13687693,-0.018349975,0.1477378,-0.011556194,-0.159294,0.37881973,-1.3286442,-1.7074639,0.2850669,-0.5063894,-0.7914563
87220,"Texas City, TX",Temperate,True,0.017519904,-0.07415343,-0.09167334,0.15337464,0.12245035,-0.03092429,1.3421928,-0.6975346,-2.0397274,0.53869754,0.20150596,-0.33719158
87490,"Thousand Oaks, CA",Temperate,True,1.0110302,0.7242785,-0.2867517,0.38544068,-0.02658488,-0.41202557,2.9626396,0.51518947,-2.4474502,0.2545086,0.13314518,-0.12136343
88084,"Topeka, KS",Temperate,False,0.19727778,-0.029541615,-0.2268194,0.16899467,-0.18546565,-0.3544603,2.2072282,-1.4450889,-3.652317,0.6398779,-0.47510135,-1.1149793
88273,"Tracy, CA",Temperate,False,0.29113305,-0.046440583,-0.33757362,0.89920044,-0.046940982,-0.9461414,1.5234063,0.7531919,-0.7702144,1.4417382,0.046195656,-1.3955426
88732,"Tucson, AZ",Arid,False,0.24594328,-0.11044164,-0.35638493,0.64368784,0.2633385,-0.38034934,0.62299275,-0.9757797,-1.5987725,0.8364097,0.43673554,-0.39967415
88948,"Tulsa, OK",Temperate,False,0.28670394,0.15351823,-0.13318571,0.23124903,0.19847168,-0.032777354,1.9602244,1.2572622,-0.70296216,0.7979926,0.730677,-0.06731558
89083,"Turlock, CA",Arid,False,0.38125104,0.22832392,-0.15292712,0.4238202,0.47314513,0.04932493,0.308444,0.6232607,0.31481668,0.92437804,1.765032,0.840654
89326,"Tyler, TX",Temperate,False,0.21794428,-0.00048366172,-0.21842794,0.19323069,-0.033050098,-0.22628078,1.806972,-0.91700935,-2.7239814,0.59644246,-0.23999527,-0.8364377
89866,"Vacaville, CA",Temperate,False,0.3629,0.19639371,-0.16650628,0.31317884,0.3489743,0.03579545,1.8687688,2.5514517,0.6826829,1.154815,0.78875595,-0.366059
90028,"Vallejo, CA",Temperate,True,0.3892855,0.26563385,-0.12365165,0.60790974,0.23437169,-0.37353805,3.8919,1.8449734,-2.0469265,0.9998055,0.45409358,-0.54571193
90514,"Victoria, TX",Temperate,False,0.22655351,-0.042396903,-0.2689504,0.19022578,-0.1580992,-0.34832498,1.3462662,-0.88200533,-2.2282715,0.47503436,-0.7697066,-1.244741
