Urban_geoid,slope_CUHI_day,slope_CUHI_night,slope_SUHI_day,slope_SUHI_night,Urban_name,Clim_zone,Coastal?
48826,0.004905765589362316,-0.0024133080336647254,-0.05477624448157842,-0.02754283905780508,"Lee's Summit, MO",Temperate,False
49096,-0.019327682269354916,-0.0295109504887692,-0.044793777634550905,-0.021931641763279094,"Leominster--Fitchburg, MA",Snow,False
49312,-0.08941281736990148,-0.06898543755200531,-0.16753494219580822,-0.0615777510119662,"Lewiston, ID--WA",Temperate,False
49339,-0.06015961319640638,-0.04707303363543077,-0.2604877052798177,-0.09123061959579731,"Lewiston, ME",Snow,False
49582,0.0019450039942541064,-0.001787370617938392,-0.01944071626026107,-0.018519136577047617,"Lexington-Fayette, KY",Temperate,False
49594,-0.01257854435337406,-0.0011910168919709273,-0.008331731638250883,-0.01589633703400866,"Lexington Park--California--Chesapeake Ranch Estates, MD",Temperate,True
49852,0.015247690322500274,-0.0050503403941661446,-0.03364054216449199,-0.04209853593106291,"Lima, OH",Snow,False
49933,-0.012932555862467617,-0.0064506922798788936,-0.007362919632669258,-0.017838037109677744,"Lincoln, NE",Snow,False
50392,0.00654048074368877,0.00010436773975852729,-0.014012537343976316,-0.004676331608957442,"Little Rock, AR",Temperate,False
50527,0.0029658210697513705,0.0061683836400931195,-0.034224396347809105,-0.00035900624023517977,"Livermore, CA",Temperate,False
50851,-0.017834883324135888,-0.014253902338528395,-0.07180110662103703,-0.017237527891621023,"Lodi, CA",Temperate,False
50959,-0.024946748074499932,-0.02869563987807352,-0.029589894134604423,-0.008796437030173281,"Logan, UT",Snow,False
51040,-0.040199659318338,-0.01969175717680193,-0.03186517446664592,-0.04222095591747804,"Lompoc, CA",Temperate,True
51175,-0.009536720544518354,-0.015681020369690896,-0.053177343111936434,-0.022670041821846308,"Longmont, CO",Snow,False
51256,-0.002650651377062037,-0.0011336377809362068,0.014923295114972316,-0.014865759929614284,"Longview, TX",Temperate,False
51283,-0.04065878013831186,-0.02964269725640329,-0.15896707731916265,-0.02005438059878614,"Longview, WA--OR",Temperate,True
