Urban_geoid,slope_CUHI_day,slope_CUHI_night,slope_SUHI_day,slope_SUHI_night,Urban_name,Clim_zone,Coastal?
47935,-0.02820138310476654,-0.013714162886870199,-0.04669919104203378,-0.015191632298186562,"Las Cruces, NM",Arid,False
47995,-0.02789269989310202,-0.015435243049556464,-0.04517490935829772,-0.014175429790330166,"Las Vegas--Henderson, NV",Arid,False
48232,-0.002782967552701074,-0.002912648921655905,-0.04255909945835991,-0.014878760108411848,"Lawrence, KS",Temperate,False
48394,-0.012188271780687238,-0.008435690490056113,-0.08413394674940716,-0.033185726976059766,"Lawton, OK",Temperate,False
48664,-0.017528309866846337,-0.021586301470738103,-0.22069928494270158,-0.06086325101186143,"Lebanon, PA",Temperate,False
48799,-0.003693736275134968,-0.0064986686688832986,-0.02894247804580567,-0.010153492729702514,"Leesburg--Eustis--Tavares, FL",Temperate,False
48826,-0.004652010532304524,-0.005276369244747521,-0.0963141801000982,-0.019665922826366686,"Lee's Summit, MO",Temperate,False
49096,-0.01086212163445979,-0.015798145146408673,-0.10178168463668294,-0.03703443570124008,"Leominster--Fitchburg, MA",Snow,False
49312,-0.0628597162216111,-0.052990509199420374,-0.281453318396138,-0.10919416810421925,"Lewiston, ID--WA",Temperate,False
49339,-0.02395224309317659,-0.04423059984099037,-0.2223923134706882,-0.07399987656408157,"Lewiston, ME",Snow,False
49582,-0.003894327663967954,-0.005055871423701093,-0.05265583110067394,-0.015143719237501045,"Lexington-Fayette, KY",Temperate,False
49594,-0.002633210506258538,0.0006942313647486801,0.004858849852732383,0.0004965575074401466,"Lexington Park--California--Chesapeake Ranch Estates, MD",Temperate,True
49852,-0.006753959984147478,-0.01162208069216232,-0.13045135568750837,-0.03918647986367367,"Lima, OH",Snow,False
49933,-0.005874622402866102,-0.0067955194926814224,-0.056880078784812015,-0.021483897512774162,"Lincoln, NE",Snow,False
50392,-0.0023383446046713677,-0.0012404018147765916,-0.027660602715951995,-0.0028134304224025934,"Little Rock, AR",Temperate,False
50527,-0.0006205858965158001,0.001738091991443334,0.004569401418727356,0.0008520426933277229,"Livermore, CA",Temperate,False
50851,-0.009473684848732044,-0.01676986448633332,-0.04706005125479988,-0.021465514424320344,"Lodi, CA",Temperate,False
50959,-0.02196411445635114,-0.024874664452908903,-0.08872090335906838,-0.02510796531902913,"Logan, UT",Snow,False
51040,0.011335737520738798,-0.007150283886146281,-0.07265186072937559,-0.01665744229951262,"Lompoc, CA",Temperate,True
51175,-0.0049995554481724516,-0.024211190099484383,-0.05350982489320933,-0.04361818596474871,"Longmont, CO",Snow,False
51256,-0.004287038601437766,-0.0034736973213963566,-0.0391380211278049,-0.01578027404675549,"Longview, TX",Temperate,False
51283,-0.03642532440532112,-0.027488909887064938,-0.1480433876909158,-0.03211156643664941,"Longview, WA--OR",Temperate,True
51364,-0.00950108601552955,-0.01384442544824597,-0.10669704789217542,-0.03591157373595898,"Lorain--Elyria, OH",Snow,False
51445,-0.01947979415774443,-0.00562949001240992,-0.045988976873593206,-0.009952139739790235,"Los Angeles--Long Beach--Anaheim, CA",Temperate,True
51499,0.011368095693525058,-0.0009571260666339121,-0.033313583841964055,-0.009661648074698105,"Los Lunas, NM",Arid,False
51755,-0.006073900454714872,-0.007782563250870173,-0.06376297392837912,-0.019979915340829768,"Louisville/Jefferson County, KY--IN",Temperate,False
